district,year,rainfall_mm,climatology_mean_mm,climatology_std_mm,zscore_region_baseline,zscore_district_baseline,drought_under_region_baseline,drought_under_district_baseline,classification_changes
Hingoli,2017,878.5013569918029,960.5014023014757,180.37257245843549,0.32794440660420776,-0.45461482414998855,False,False,False
Jalna,2017,771.7365412072264,781.2193798326057,154.2388092307656,-0.34447126675467393,-0.061481534204477904,False,False,False
Parbhani,2017,821.9917083789805,899.1093051528424,168.513004087119,-0.027959110336567363,-0.45763587915145726,False,False,False
Latur,2018,743.3211786465571,857.6499023826233,170.0128325833538,-0.5234341114854889,-0.672471142318114,True,True,False
Nanded,2018,947.550314070907,1008.9913671074733,175.2196296346268,0.762821764166994,-0.3506516545245813,False,False,False
Osmanabad,2018,546.8163869193684,704.8983204848475,162.53556192534626,-1.7610412845648118,-0.9725990527419921,True,True,False
Aurangabad,2018,518.388451421809,725.0548569136677,163.01918755442225,-1.9400833149314833,-1.2677428258122392,True,True,False
Bid,2018,512.5030250132357,744.7266217271472,150.21146789608073,-1.977150329307362,-1.5459778135885625,True,True,False
Hingoli,2018,910.9600266830604,960.5014023014757,180.37257245843549,0.5323724110585872,-0.27466135756217275,False,False,False
Jalna,2018,607.8364201747554,781.2193798326057,154.2388092307656,-1.3767309062039115,-1.1241201907779383,True,True,False
Parbhani,2018,744.1446316191648,899.1093051528424,168.513004087119,-0.5182479208759101,-0.9196006822925243,True,True,False
Latur,2019,938.9160689035232,857.6499023826233,170.0128325833538,0.7084424095499575,0.47800019143294237,False,False,False
Nanded,2019,1070.5231287137683,1008.9913671074733,175.2196296346268,1.537317063533791,0.3511693395003911,False,False,False
Osmanabad,2019,839.9209085269117,704.8983204848475,162.53556192534626,0.0849608165294416,0.8307264357573699,False,False,False
Aurangabad,2019,902.911079063521,725.0548569136677,163.01918755442225,0.4816793199531483,1.0910140383964184,False,False,False
Bid,2019,900.4415151213016,744.7266217271472,150.21146789608073,0.4661257549616542,1.0366378517909234,False,False,False
Hingoli,2019,961.3912179466712,960.5014023014757,180.37257245843549,0.8499931851180337,0.004933209262736365,False,False,False
Jalna,2019,914.9851380792552,781.2193798326057,154.2388092307656,0.5577229721954878,0.867263945525635,False,False,False
Parbhani,2019,950.4859470696568,899.1093051528424,168.513004087119,0.7813106795000366,0.3048823572705015,False,False,False
Latur,2020,1051.314686293525,857.6499023826233,170.0128325833538,1.416340338671132,1.139118623977704,False,False,False
Nanded,2020,1149.315879809047,1008.9913671074733,175.2196296346268,2.0335618272622584,0.8008492712499309,False,False,False
Osmanabad,2020,1001.4425604571323,704.8983204848475,162.53556192534626,1.1022406155584044,1.8244883547914867,False,False,False
Aurangabad,2020,1106.2363557128904,725.0548569136677,163.01918755442225,1.7622426010712464,2.338261553855243,False,False,False
Bid,2020,939.7817569584192,744.7266217271472,150.21146789608073,0.713894601005298,1.2985369090874943,False,False,False
Hingoli,2020,1181.2710220729036,960.5014023014757,180.37257245843549,2.234818564743879,1.223964468446562,False,False,False
Jalna,2020,1068.672886279573,781.2193798326057,154.2388092307656,1.5256640484171171,1.8636911674862033,False,False,False
Parbhani,2020,1099.293805851402,899.1093051528424,168.513004087119,1.718517715624344,1.18794689930913,False,False,False
Latur,2022,1175.945742686442,857.6499023826233,170.0128325833538,2.2012794133094125,1.8721871488598647,False,False,False
Nanded,2022,1409.640121399609,1008.9913671074733,175.2196296346268,3.673110389346187,2.286551770070399,False,False,False
Osmanabad,2022,971.4053945328776,704.8983204848475,162.53556192534626,0.9130634882217786,1.639684699711677,False,False,False
Aurangabad,2022,928.0329202462874,725.0548569136677,163.01918755442225,0.6398992319231088,1.2451176231316798,False,False,False
Bid,2022,1012.3399731271292,744.7266217271472,150.21146789608073,1.1708736293890156,1.7815773665504833,False,False,False
Hingoli,2022,1384.3092691931813,960.5014023014757,180.37257245843549,3.513574104681891,2.3496247856051764,False,False,False
Jalna,2022,1058.5300025102067,781.2193798326057,154.2388092307656,1.4617831343776007,1.797930261914176,False,False,False
Parbhani,2022,1240.910572580189,899.1093051528424,168.513004087119,2.610434522290172,2.0283376305524756,False,False,False
Latur,2023,891.0674408640559,857.6499023826233,170.0128325833538,0.4070868814574808,0.19655891836899259,False,False,False
Nanded,2023,1019.663125369143,1008.9913671074733,175.2196296346268,1.2169955873555718,0.06090503834486372,False,False,False
Osmanabad,2023,671.2410953056434,704.8983204848475,162.53556192534626,-0.9774018106687113,-0.20707606864929134,True,False,True
Aurangabad,2023,694.3833280062531,725.0548569136677,163.01918755442225,-0.8316496743487569,-0.18814674129801545,True,False,True
Bid,2023,687.6787017571522,744.7266217271472,150.21146789608073,-0.8738760926756088,-0.3797840522366896,True,False,True
Hingoli,2023,940.250130186537,960.5014023014757,180.37257245843549,0.7168444632539583,-0.11227467590509227,False,False,False
Jalna,2023,699.0860483777707,781.2193798326057,154.2388092307656,-0.8020314629371158,-0.5325075567197266,True,True,False
Parbhani,2023,830.8906124265006,899.1093051528424,168.513004087119,0.028087092837172648,-0.404827467742926,False,False,False
Latur,2021,1031.6127619728989,857.6499023826233,170.0128325833538,1.292255614587026,1.0232336991678859,False,False,False
Nanded,2021,1176.1002705913352,1008.9913671074733,175.2196296346268,2.202252645777974,0.9537110872356162,False,False,False
Osmanabad,2021,866.203151301653,704.8983204848475,162.53556192534626,0.25048905579899555,0.99242792719352,False,False,False
Aurangabad,2021,821.5374169911393,725.0548569136677,163.01918755442225,-0.030820283722309057,0.5918478770804934,False,False,False
Bid,2021,893.9677277161371,744.7266217271472,150.21146789608073,0.4253531831622585,0.9935400277975973,False,False,False
Hingoli,2021,1145.4978697351996,960.5014023014757,180.37257245843549,2.0095156113265036,1.025635244384808,False,False,False
Jalna,2021,863.8092597862684,781.2193798326057,154.2388092307656,0.23541208345153838,0.5354675672456419,False,False,False
Parbhani,2021,1053.6287065956071,899.1093051528424,168.513004087119,1.4309142739901441,0.91695832188049,False,False,False
