district,year,doy,mean_sif,valid_pixel_fraction,system:index,rainfall_mm,anomaly_mm,anomaly_pct,anomaly_zscore
Aurangabad,2017,273,0.2734419540229885,0.4773662551440329,4_00020000000000000280,724.0442621511847,-102.386758172933,-12.389026507351817,-0.6448422214588003
Bid,2017,273,0.2210077120822622,0.524966261808367,4_00020000000000000282,765.8751361375739,-60.55588418654384,-7.327397289951004,-0.3813871205424665
Hingoli,2017,273,0.2253310559006211,0.4735294117647058,4_00020000000000000284,878.5013569918029,52.07033666768518,6.300627080438454,0.3279442788117712
Jalna,2017,273,0.2481751879699248,0.475,4_00020000000000000285,771.7365412072264,-54.69447911689133,-6.6181541800597845,-0.34447139497959
Parbhani,2017,273,0.2454648401826483,0.4802631578947368,4_00020000000000000288,821.9917083789805,-4.439311945137206,-0.5371666643631253,-0.0279592383579113
Latur,2018,273,0.1728704918032787,0.5545454545454546,1_00020000000000000271,743.3211786465571,-83.10984167756067,-10.056476539925358,-0.523434239825509
Nanded,2018,273,0.2369828337874659,0.3598039215686274,1_00020000000000000273,947.550314070907,121.11929374678924,14.65570516693426,0.7628216366542588
Osmanabad,2018,273,0.1512203921568627,0.3739002932551319,1_00020000000000000275,546.8163869193684,-279.6146334047494,-33.83399540049784,-1.7610414137008272
Aurangabad,2018,273,0.180819540229885,0.4773662551440329,1_00020000000000000280,518.388451421809,-308.04256890230874,-37.27383911381952,-1.9400834441826535
Bid,2018,273,0.1426704370179948,0.524966261808367,1_00020000000000000282,512.5030250132357,-313.927995310882,-37.98598885939237,-1.977150458582373
Hingoli,2018,273,0.1881459627329192,0.4735294117647058,1_00020000000000000284,910.9600266830604,84.52900635894264,10.228198637291136,0.5323722833976332
Jalna,2018,273,0.1787312030075188,0.475,1_00020000000000000285,607.8364201747554,-218.59460014936235,-26.45043503614274,-1.3767310350927489
Parbhani,2018,273,0.2115598173515982,0.4802631578947368,1_00020000000000000288,744.1446316191648,-82.28638870495297,-9.956836890353062,-0.5182480492125946
Latur,2019,273,0.2775540983606557,0.5545454545454546,5_00020000000000000271,938.9160689035232,112.48504857940544,13.61094220970674,0.708442282002247
Nanded,2019,273,0.3267177111716621,0.3598039215686274,5_00020000000000000273,1070.5231287137683,244.09210838965052,29.53569050371804,1.5373169365191903
Osmanabad,2019,273,0.2398325490196078,0.3739002932551319,5_00020000000000000275,839.9209085269117,13.489888202793964,1.6323066137453757,0.0849606885807246
Aurangabad,2019,273,0.3253841498559077,0.47599451303155,5_00020000000000000280,902.911079063521,76.48005873940326,9.254257991115647,0.4816791922595899
Bid,2019,273,0.2521095360824742,0.5236167341430499,5_00020000000000000282,900.4415151213016,74.01049479718381,8.95543523622306,0.4661256272580921
Hingoli,2019,273,0.29315,0.4764705882352941,5_00020000000000000284,961.3912179466712,134.96019762255344,16.33048546140287,0.8499930576613648
Jalna,2019,273,0.3338827067669173,0.475,5_00020000000000000285,914.9851380792552,88.55411775513744,10.715246109760912,0.5577228445508386
Parbhani,2019,273,0.3208479452054794,0.4802631578947368,5_00020000000000000288,950.4859470696568,124.05492674553908,15.010923319031033,0.781310551999193
Latur,2020,273,0.2069413934426229,0.5545454545454546,2_00020000000000000271,1051.314686293525,224.88366596940728,27.21142605237764,1.4163402115787225
Nanded,2020,273,0.2651138964577657,0.3598039215686274,2_00020000000000000273,1149.315879809047,322.8848594849292,39.06978943727174,2.033561700566829
Osmanabad,2020,273,0.1942729411764706,0.3739002932551319,2_00020000000000000275,1001.4425604571323,175.0115401330146,21.176787394110264,1.102240488263974
Aurangabad,2020,273,0.2801965417867435,0.47599451303155,2_00020000000000000280,1106.2363557128904,279.8053353887726,33.857070766660705,1.7622424742013114
Bid,2020,273,0.2458095360824742,0.5236167341430499,2_00020000000000000282,939.7817569584192,113.35073663430148,13.71569239860412,0.7138944734610941
Hingoli,2020,273,0.2448672839506173,0.4764705882352941,2_00020000000000000284,1181.2710220729036,354.8400017487859,42.9364330503496,2.2348184381778924
Jalna,2020,273,0.2732206766917294,0.475,2_00020000000000000285,1068.672886279573,242.2418659554553,29.31180703508086,1.5256639213950214
